0.000	0.440	N
0.440	1.170	E:7
1.170	4.810	A:maj
4.810	7.775	Gb:min
7.775	8.025	E:maj
8.025	11.015	A:maj
11.015	13.770	Gb:min
13.770	14.020	E:maj
14.020	18.600	A:maj
18.600	26.010	Gb:min
26.010	26.265	E:maj
26.265	29.335	A:maj
29.335	32.135	D:maj
32.135	33.910	B:7
33.910	35.190	E:maj
35.190	41.430	A:maj
41.430	41.690	E:maj
41.690	47.935	Gb:min
47.935	54.165	A:maj
54.165	60.155	Gb:min
60.155	60.420	E:min
60.420	61.200	A:min
61.200	61.460	D:maj
61.460	62.765	A:maj
62.765	63.545	C:maj
63.545	66.410	D:maj
66.410	68.235	B:7
68.235	69.535	E:maj
69.535	70.580	A:maj
70.580	71.895	Gb:min
71.895	75.830	A:maj
75.830	76.090	E:maj
76.090	82.080	Gb:min
82.080	82.345	E:maj
82.345	85.495	A:maj
85.495	88.820	D:maj
88.820	93.045	A:maj
93.045	96.440	E:maj
96.440	99.040	A:maj
99.040	99.825	Gb:min
99.825	100.595	A:maj
100.595	101.350	Gb:min
101.350	102.100	E:maj
102.100	105.155	A:maj
105.155	105.940	Gb:min
105.940	106.715	A:maj
106.715	107.485	Gb:min
107.485	108.250	E:maj
108.250	116.025	A:maj
116.025	122.340	Gb:min
122.340	123.130	A:min
123.130	125.235	A:maj
125.235	128.660	D:maj
128.660	130.245	B:7
130.245	131.840	E:maj
131.840	137.975	A:maj
137.975	138.240	E:maj
138.240	144.355	Gb:min
144.355	144.625	E:maj
144.625	147.790	A:maj
147.790	150.975	D:maj
150.975	156.150	A:7
156.150	158.750	E:7
158.750	166.190	A:maj
166.190	172.745	Gb:min
172.745	174.045	N
174.045	174.305	A:maj
174.305	175.350	Gb:min7
175.350	175.610	E:maj
175.610	179.515	A:maj
179.515	182.909	N
